T_600,T_1500,T_2400,Beta_0.15,Beta_0.17,Beta_0.19
3306.614362,11160.77612,5.852461123,217.4397973,8952.964298,857.9435654
2911.290291,11062.65135,5.74340765,234.7398917,8649.015409,754.4497876
2563.792812,10800.32412,5.635475359,253.5716861,8274.155595,665.533106
2259.433913,10390.11567,5.528685925,274.0724416,7843.635415,588.8974136
1993.491208,9856.621538,5.423059792,296.3903511,7373.413349,522.6318662
1761.433682,9229.708886,5.318616175,320.6850926,6879.033858,465.1455059
1559.054092,8541.153416,5.215373054,347.1283473,6374.725748,415.1122258
1382.534943,7821.534609,5.11334718,375.9042633,5872.782345,371.4248808
1228.469628,7097.849532,5.012554076,407.2098437,5383.230837,333.1572719
1093.855008,6392.061452,4.913008044,441.2552341,4913.756298,299.5327859
976.0671334,5720.56362,4.814722177,478.2638774,4469.821615,269.8985918
872.8281777,5094.375552,4.717708363,518.4724995,4054.916981,243.7044374
782.1698873,4519.819279,4.621977304,562.1308833,3670.877616,220.4852326
702.396894,3999.43077,4.527538527,609.5013807,3318.220567,199.8467382
632.0518543,3532.914744,4.434400401,660.8581055,2996.466065,181.4537947
569.8834615,3118.018452,4.342570155,716.4857424,2704.422587,165.0206293
514.8177782,2751.260923,4.252053899,776.6778992,2440.425905,150.3028579
465.9329663,2428.499155,4.162856644,841.7349215,2202.530256,137.0908757
422.4372761,2145.340601,4.074982326,911.9610839,1988.65479,125.2043813
383.6500378,1897.425239,3.988433828,987.6610628,1796.691059,114.4878314
348.9853468,1680.604828,3.903213007,1069.135597,1624.578302,104.806657
317.9381249,1491.04572,3.819320718,1156.676238,1470.3532,96.04410794
290.0722465,1325.277676,3.736756846,1250.559098,1332.180132,88.09861296
265.010446,1180.206476,3.655520328,1351.03751,1208.367024,80.88156605
242.4257488,1053.103614,3.575609187,1458.333544,1097.370924,74.31546584
222.0342006,941.5826105,3.497020558,1572.628322,997.7965486,68.33234723
203.5886986,843.5684974,3.419750722,1694.051148,908.3902271,62.87245614
186.8737564,757.2647683,3.343795133,1822.66749,828.0310772,57.88312675
171.7010572,681.1205137,3.269148449,1958.465921,755.7206849,53.31782809
157.9056743,613.7993224,3.195804567,2101.344225,690.5722034,49.13535208
145.3428543,554.1507883,3.123756652,2251.094933,631.799473,45.29912062
133.8852758,501.1849721,3.052997169,2407.390695,578.706553,41.77659268
123.4207102,454.0498676,2.983517913,2569.769996,530.6778989,38.53875573
113.8500221,412.011739,2.915310043,2737.62384,487.1693091,35.55968852
105.0854574,374.4381047,2.848364113,2910.184183,447.6996916,32.81618429
97.04917553,340.7830983,2.782670104,3086.514958,411.8436506,30.28742534
89.67198777,310.5749281,2.71821745,3265.506657,379.2248622,27.95470126
82.89227204,283.4051662,2.654995077,3445.875463,349.5101888,25.80116447
76.65503686,258.9196194,2.592991427,3626.167901,322.4044743,23.81161761
70.9111128,236.810556,2.532194489,3804.771915,297.6459563,21.97232831
65.61645282,216.8100932,2.47259183,3979.935055,275.0022321,20.27086734
60.73152553,198.6845697,2.414170624,4149.790238,254.266719,18.69596703
56.2207882,182.2297582,2.356917677,4312.389128,235.2555524,17.23739705
52.05222807,167.2667873,2.30081946,4465.742755,217.8048683,15.88585527
48.19696244,153.6386664,2.245862131,4607.86845,201.7684264,14.63287165
44.62888929,141.2073202,2.192031564,4736.841655,187.0155289,13.47072341
41.32438156,129.8510556,2.139313374,4850.850602,173.4292001,12.39236006
38.26201904,119.4623943,2.087692943,4948.251462,160.9045917,11.391337
35.42235295,109.946216,2.037155443,5027.621197,149.3475872,10.4617566
32.78769871,101.218165,1.987685859,5087.805273,138.6735783,9.59821577
30.34195325,93.20328085,1.939269014,5127.957469,128.8063915,8.795759351
28.07043373,85.83481882,1.891889589,5147.569345,119.6773464,8.049838459
25.95973482,79.05323299,1.845532145,5146.487526,111.2244282,7.356273314
23.99760221,72.80529746,1.800181141,5124.917653,103.3915593,6.71121996
22.17282034,67.04334573,1.75582096,5083.414757,96.1279589,6.11114045
20.47511253,61.72461114,1.71243592,5022.860669,89.38757771,5.552776099
18.89505208,56.81065392,1.670010297,4944.429921,83.12859935,5.033123475
17.42398289,52.26686261,1.62852834,4849.546287,77.31299979,4.549412835
16.05394856,48.06201931,1.587974289,4739.832608,71.90615749,4.099088766
14.7776289,44.16792006,1.54833239,4617.056785,66.87650804,3.679792835
13.58828311,40.55904261,1.509586909,4483.076847,62.19523778,3.28934808
12.47969866,37.21225531,1.471722148,4339.787775,57.83601175,2.925745258
11.44614539,34.10656138,1.434722457,4189.072365,53.77473161,2.587130781
10.48233429,31.22287413,1.398572249,4032.757906,49.98932007,2.271796399
9.5833802,28.54381882,1.363256009,3872.579871,46.4595287,1.978170802
8.744768372,26.05355788,1.328758306,3710.15323,43.16676622,1.704813533
7.962324173,23.7376364,1.295063806,3546.951512,40.09394496,1.450412034
7.232185847,21.58284542,1.26215728,3384.293247,37.22534338,1.213783413
6.550779952,19.57710081,1.230023614,3223.335159,34.54648281,0.993884228
5.914799295,17.70933581,1.198647817,3065.07118,32.04401675,0.789835367
5.321183178,15.9694057,1.168015032,2910.336305,29.70563135,0.600978754
4.767099871,14.34800328,1.13811054,2759.814216,27.51995581,0.427009938
4.249931264,12.83658393,1.108919768,2614.047695,25.47648167,0.268322818
3.767259777,11.42729957,1.080428296,2473.450881,23.5654899,0.127095255
3.316857747,10.11294075,1.052621866,2338.322591,21.77798506,0.012071472
2.896679769,8.88688674,1.025486381,2208.860024,20.10563577,-0.019501603
2.504858847,7.743063766,0.999007915,2085.17233,18.54072077,0.094780574
2.139707981,6.675912361,0.973172716,1967.293634,17.07608005,-0.009458062
1.799730186,5.680366234,0.947967211,1855.195242,15.70507056,0.030175236
1.483642722,4.75184761,0.923378006,1748.796833,14.421526,-0.030053449
1.190427333,3.886289777,0.899391896,1647.976547,13.21972033,0.275015361
0.919432168,3.080210798,0.875995859,1552.579925,12.09433472,0.132923406
0.670586571,2.330897018,0.853177069,1462.427719,11.04042755,0.016295095
