T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
16.12809809,18.53790457,22.51261903,29.30927964,41.8465962,68.49865469,143.9357047,1243.52028,3471.47986,630.9501731,150.236166,46.10931316,16.12809809,5.922041941,2.087785225
14.83911699,17.00439294,20.62552331,26.87092586,38.4470149,63.08745388,132.5638216,1317.185331,3309.321792,589.1556795,140.2147248,42.84002354,14.83911699,5.346389487,1.807031542
13.63612889,15.57367093,18.86590339,24.59950131,35.285828,58.07364883,122.1148044,1394.144429,3149.362839,550.3467939,130.8798909,39.78901036,13.63612889,4.809589064,1.545729889
12.51316394,14.23852221,17.22465346,22.48276194,32.3448096,53.42467676,112.5027104,1474.3726,2992.521923,514.2916996,122.1796821,36.940684,12.51316394,4.308993726,1.302651666
11.46470161,12.99228514,15.6933862,20.50946464,29.60730412,49.11102189,103.6507946,1557.816479,2839.561906,480.7772106,114.0665503,34.28068603,11.46470161,3.842157688,1.076704239
10.4856339,11.82880637,14.26437049,18.66927588,27.05807306,45.10589056,95.49040285,1644.391017,2691.098697,449.6074082,106.4969573,31.79577968,10.4856339,3.406823061,0.86694964
9.571232302,10.74239923,12.93047566,16.95269019,24.6831588,41.38492531,87.96000991,1733.976191,2547.612683,420.6023287,99.43099468,29.47375139,9.571232302,3.000908795,0.672647429
8.71711784,9.727806332,11.68512164,15.35095736,22.46976353,37.9259526,81.00438344,1826.413806,2409.461629,393.5967133,92.83204407,27.30332218,8.71711784,2.622502118,0.493352079
7.919234086,8.78016611,10.52223448,13.85601753,20.40614152,34.70876008,74.57385545,1921.504473,2276.894287,368.4388286,86.66647158,25.27406769,7.919234086,2.269853127,0.329151683
7.173822865,7.894982945,9.436206788,12.46044332,18.48150315,31.71489957,68.6236867,2019.004874,2150.064136,344.9893608,80.90335403,23.37634612,7.173822865,1.94137371,0.181348651
6.477402468,7.068100819,8.421862989,11.15738869,16.68592952,28.92751252,63.11351147,2118.625426,2029.042769,323.1203856,75.51423285,21.601233,6.477402468,1.635643043,0.054969765
5.826748252,6.295680383,7.474429208,9.940543778,15.01029651,26.33117533,58.00685151,2220.028484,1913.83258,302.7144124,70.47289284,19.9404623,5.826748252,1.351424035,-0.02643256
5.218875589,5.574179605,6.589508063,8.804096053,13.44620746,23.91176197,53.27069018,2322.827201,1804.378539,283.6635019,65.75516294,18.38637299,5.218875589,1.087699649,0.16346025
4.651025191,4.900338376,5.763058931,7.742697544,11.98593388,21.656322,48.87509842,2426.585204,1700.578886,265.8684523,61.33873686,16.93186075,4.651025191,0.843748687,0.040778893
4.12065102,4.271167903,4.991384937,6.751439174,10.62236381,19.5529722,44.79290608,2530.817209,1602.294694,249.2380531,57.20301125,15.57033402,4.12065102,0.619308121,-0.028972942
3.625411149,3.683946399,4.271129122,5.825833651,9.348957835,17.59080041,40.99941237,2634.990707,1509.358279,233.6883998,53.32893955,14.29567428,3.625411149,0.414949153,0.208897703
3.163162302,3.136223949,3.599284458,4.961810154,8.159713436,15.75978031,37.47213057,2738.528837,1421.580503,219.1422675,49.69890004,13.10219994,3.163162302,0.233068536,0.077519787
2.731959388,2.625841897,2.973226964,4.155727104,7.049138941,14.05069632,34.19056261,2840.81453,1338.757016,205.5285383,46.29657637,11.9846336,2.731959388,0.081054932,-0.017359579
2.330062298,2.150977354,2.390791167,3.404415895,6.012240361,12.45507802,31.13599966,2941.195982,1260.673525,192.7816786,43.10684945,10.93807242,2.330062298,-0.015611862,0.069055696
1.955954226,1.710234873,1.850430991,2.705283342,5.044527259,10.96514386,28.29134571,3038.993467,1187.110185,180.8412622,40.11569937,9.957961352,1.955954226,0.027864572,-0.021312032
