T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
25.09253143,23.43703409,21.86101915,20.36260445,18.9398455,17.59074077,16.31323722,4.906676185,7.013391266,9.845613985,13.61508813,18.58714191,25.09253143,33.54152126,44.44051848
28.47526239,26.24376439,24.14421453,22.17241892,20.32404346,18.59463453,16.97964033,5.055280121,7.370486707,10.55124796,14.87532511,20.69873764,28.47526239,38.78012141,52.33852928
32.33677114,29.41055812,26.6888546,24.16361854,21.82652026,19.66900329,17.68234626,5.208752591,7.746879833,11.31018593,16.25816589,23.06221906,32.33677114,44.87789458,61.71075785
36.75019903,32.98870886,29.52920312,26.35770598,23.45968254,20.82018934,18.42402636,5.367274551,8.143722069,12.12682422,17.77656117,25.71010207,36.75019903,51.98650495,72.85231076
41.80098681,37.03780581,32.70477221,28.77924596,25.23754082,22.05525526,19.20760529,5.531034918,8.562243792,13.00596966,19.44499461,28.67956545,41.80098681,60.28677613,86.12183702
47.58912532,41.62723448,36.26124329,31.45637504,27.17595606,23.38208251,20.03629024,5.700230979,9.003760659,13.95288352,21.27968796,32.01319343,47.58912532,69.99465151,101.955702
54.23182966,46.83796494,40.25156389,34.42140598,29.2929294,24.80948578,20.91360424,5.875068844,9.469680518,14.97333091,23.29883629,35.7598443,54.23182966,81.36835727,120.8851497
61.86671027,52.76468135,44.73725461,37.71154531,31.60894317,26.34734559,21.84342403,6.055763911,9.961510962,16.07363613,25.52287799,39.97566604,61.86671027,94.71697542,143.5569532
70.6555234,59.51831447,49.78996673,41.36974639,34.14736318,28.00676274,22.83002317,6.242541369,10.48086759,17.26074481,27.97480471,44.72528308,70.6555234,110.4106548,170.7580854
80.7885926,67.22904797,55.49333768,45.44572446,36.93491409,29.80023827,23.87812141,6.435636732,11.02948307,18.54229377,30.68051727,50.08318126,80.7885926,128.8927056,203.4449734
92.49000121,76.04987836,61.94519973,49.99716518,40.00224224,31.74188388,24.99294111,6.635296403,11.609217,19.92668948,33.66923441,56.13532158,92.49000121,150.6938382,242.7779057
106.0236636,86.1608177,69.26020545,55.09116423,43.38458279,33.84766834,26.18027208,6.841778278,12.22206685,21.42319644,36.97396182,62.98101643,106.0236636,176.4488161,290.1611482
121.7003893,97.77383661,77.57294269,60.80594172,47.12255196,36.1357067,27.44654597,7.055352385,12.87017979,23.04203658,40.63203039,70.73510573,121.7003893,206.915796,347.2892572
139.8860578,111.1386535,87.04162097,67.23288291,51.26308847,38.62660048,28.79892219,7.27630157,13.55586584,24.79450121,44.68571308,79.53047314,139.8860578,242.9986197,416.1999184
161.0110249,126.5494817,97.85242048,74.47896487,55.86057354,41.34383846,30.24538698,7.504922221,14.28161221,26.69307708,49.18293121,89.52094557,161.0110249,285.7722973,499.333325
185.5808802,144.3528513,110.2246035,82.66963751,60.97816377,44.31426998,31.79486812,7.741525044,15.05009908,28.75158842,54.17806196,100.8846215,185.5808802,336.5118616,599.5975335
214.1886675,164.9566239,124.4164955,91.95223667,66.68937782,47.56866463,33.45736798,7.986435891,15.86421703,30.98535695,59.73285992,113.8276755,214.1886675,396.7246648,720.4382774
247.5286693,188.840316,140.7324493,102.5000163,73.07998445,51.14237518,35.24411822,8.239996642,16.7270861,33.41138199,65.91750655,128.5886864,247.5286693,468.1859942,865.9101904
286.4118285,216.5668437,159.5309084,114.5168963,80.25024787,55.07612401,37.16775994,8.502566141,17.64207688,36.04854341,72.81180244,145.4435383,286.4118285,552.9775605,1040.744093
331.7828385,248.795783,181.2336865,128.2430292,88.31759429,59.41693693,39.24255413,8.77452121,18.61283368,38.91782991,80.50651811,164.7109388,331.7828385,653.5279116,1250.40165
384.7388591,286.2982221,206.336576,143.9612978,97.4197734,64.21925312,41.48462777,9.056257713,19.64330013,42.04259579,89.10491962,186.7585999,384.7388591,772.6530609,1501.104042
